exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,2,0.5,0.75,2048,14.840178439721367,14.831205093306705,3.3820387297810917,0.03599436913120897,hbm-bound
naive,1,2,0.5,0.75,4096,17.108518281968028,17.098508387565627,3.4953067831144256,0.041496153488350944,hbm-bound
naive,1,2,0.5,0.75,8192,21.230999228086073,21.219333005396184,3.721842889781092,0.051495096662361364,hbm-bound
naive,1,2,0.5,0.75,16384,28.133815337317717,28.120032940602282,4.174915103114426,0.06823765215721325,hbm-bound
naive,1,2,0.5,1.0,2048,15.229678920445084,15.222497667041385,5.783369907758979,0.03693908985251965,hbm-bound
naive,1,2,0.5,1.0,4096,17.834290495797383,17.826042550318654,5.896637961092312,0.04325649033846763,hbm-bound
naive,1,2,0.5,1.0,8192,22.754428985933842,22.744294746149848,6.1231740677589785,0.05519012588806592,hbm-bound
naive,1,2,0.5,1.0,16384,31.577783268812414,31.564687869776574,6.5762462810923115,0.07659088412849903,hbm-bound
naive,1,2,0.5,1.25,2048,15.445423994307388,15.439467988664308,8.84061647754007,0.03746237249756213,hbm-bound
naive,1,2,0.5,1.25,4096,18.231195481373582,18.224254136966646,8.953884530873403,0.044219170444968765,hbm-bound
naive,1,2,0.5,1.25,8192,23.596513321061988,23.58775079606548,9.18042063754007,0.05723257399752276,hbm-bound
naive,1,2,0.5,1.25,16384,33.57014119449725,33.558261070089095,9.633492850873404,0.08142328334188317,hbm-bound
naive,1,2,1.0,0.75,2048,15.568041395251285,15.559852039735748,3.887875129781092,0.037759777007178454,hbm-bound
naive,1,2,1.0,0.75,4096,18.05891529780281,18.049820671561896,4.061108623114426,0.04380131047471121,hbm-bound
naive,1,2,1.0,0.75,8192,22.453261557302064,22.442842350509697,4.407575609781093,0.054459654105634116,hbm-bound
naive,1,2,1.0,0.75,16384,29.450961373996122,29.43915087406412,5.100509583114425,0.07143234694046559,hbm-bound
naive,1,2,1.0,1.0,2048,15.073313473356352,15.066278890946679,5.8433646277589775,0.03655983055690273,hbm-bound
naive,1,2,1.0,1.0,4096,17.478706775844035,17.470784376928247,6.016598121092311,0.04239403361498301,hbm-bound
naive,1,2,1.0,1.0,8192,21.89657454918044,21.887189880489572,6.363065107758978,0.0531094279110996,hbm-bound
naive,1,2,1.0,1.0,16384,29.43074076400236,29.419365274614734,7.055999081092311,0.07138330250996025,hbm-bound
naive,1,2,1.0,1.25,2048,15.341313853188556,15.335437854776854,8.900611197540071,0.03720985674345885,hbm-bound
naive,1,2,1.0,1.25,4096,17.99017117453961,17.983412118067207,9.073844690873402,0.0436345738442598,hbm-bound
naive,1,2,1.0,1.25,8192,22.99562108790378,22.98729908248884,9.42031167754007,0.055775129470408365,hbm-bound
naive,1,2,1.0,1.25,16384,31.97763866954726,31.966858769709784,10.113245650873404,0.0775607203708069,hbm-bound
naive,1,2,1.5,0.75,2048,16.778343553675466,16.771252401656515,4.839553209781092,0.04069532544600416,hbm-bound
naive,1,2,1.5,0.75,4096,19.795686263975004,19.787704326171216,5.072752143114426,0.048013791847943424,hbm-bound
naive,1,2,1.5,0.75,8192,25.0681885695108,25.058931447426286,5.539150009781093,0.060802074347474394,hbm-bound
naive,1,2,1.5,0.75,16384,33.33343010013949,33.322894375321475,6.471945743114426,0.08084914829745807,hbm-bound
naive,1,2,1.5,1.0,2048,16.30549494470437,16.299224808636545,7.0922704944256445,0.03954844655612986,hbm-bound
naive,1,2,1.5,1.0,4096,19.284526875235404,19.277347161726674,7.325469427758978,0.046773991410373895,hbm-bound
naive,1,2,1.5,1.0,8192,24.70764291777178,24.698994572218012,7.791867294425645,0.059927582620164,hbm-bound
naive,1,2,1.5,1.0,16384,33.81444065801499,33.80386973125578,8.724663027758979,0.08201582372838401,hbm-bound
naive,1,2,1.5,1.25,2048,15.847051243794008,15.841483683687578,9.703675384206736,0.03843650630126895,hbm-bound
naive,1,2,1.5,1.25,4096,18.698654559682915,18.692239261396956,9.93687431754007,0.04535297720387972,hbm-bound
naive,1,2,1.5,1.25,8192,24.018333293826007,24.010462185698852,10.403272184206736,0.05825568459341325,hbm-bound
naive,1,2,1.5,1.25,16384,33.34449107188234,33.33446256358882,11.33606791754007,0.08087597632391877,hbm-bound
naive,1,4,0.5,0.75,2048,17.539974998000865,17.518934854530265,3.4075761229313155,0.04254263769095713,hbm-bound
naive,1,4,0.5,0.75,4096,19.705007744365762,19.68213007081939,3.5208441762646485,0.047793854054045314,hbm-bound
naive,1,4,0.5,0.75,8192,23.642432470370096,23.616640951105342,3.747380282931315,0.05734394939756264,hbm-bound
