exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,2,0.5,0.75,2048,7.32765859289365,7.32765859289365,6.8493991093791164,0.01777299709241512,hbm-bound
naive,1,2,0.5,0.75,4096,8.588593796389926,8.588593796389926,6.96266716271245,0.020831354331819936,hbm-bound
naive,1,2,0.5,0.75,8192,10.99126572989837,10.99126572989837,7.189203269379117,0.026658956798136516,hbm-bound
naive,1,2,0.5,0.75,16384,15.369282463802469,15.369282463802469,7.64227548271245,0.03727769369694383,hbm-bound
naive,1,2,0.5,1.0,2048,7.372117948947505,7.372117948947505,11.947566138155466,0.017880831811494705,hbm-bound
naive,1,2,0.5,1.0,4096,8.719326762727459,8.719326762727459,12.060834191488798,0.02114844288079424,hbm-bound
naive,1,2,0.5,1.0,8192,11.339230943031719,11.339230943031719,12.287370298155464,0.027502935081633276,hbm-bound
naive,1,2,0.5,1.0,16384,16.299534305767214,16.299534305767214,12.740442511488798,0.039533989220658226,hbm-bound
naive,1,2,0.5,1.25,2048,7.392041489629153,7.392041489629153,18.472173087534582,0.017929155710065654,hbm-bound
naive,1,2,0.5,1.25,4096,8.783220046418384,8.783220046418384,18.58544114086791,0.021303413957962727,hbm-bound
naive,1,2,0.5,1.25,8192,11.51531893836714,11.51531893836714,18.811977247534582,0.02793003077522095,hbm-bound
naive,1,2,0.5,1.25,16384,16.786757586940062,16.786757586940062,19.265049460867914,0.04071573340945543,hbm-bound
naive,1,2,1.0,0.75,2048,8.22905002604183,8.22905002604183,7.355235509379117,0.01995929263516967,hbm-bound
naive,1,2,1.0,0.75,4096,9.74158445941352,9.74158445941352,7.52846900271245,0.023627895606460277,hbm-bound
naive,1,2,1.0,0.75,8192,12.567016180635983,12.567016180635983,7.874935989379116,0.03048088815919794,hbm-bound
naive,1,2,1.0,0.75,16384,17.532351841675755,17.532351841675755,8.56786996271245,0.042524147973746144,hbm-bound
naive,1,2,1.0,1.0,2048,7.335283811075643,7.335283811075643,12.007560858155465,0.017791491810592763,hbm-bound
naive,1,2,1.0,1.0,4096,8.633456186198003,8.633456186198003,12.180794351488798,0.020940166596134624,hbm-bound
naive,1,2,1.0,1.0,8192,11.12209011469768,11.12209011469768,12.527261338155466,0.026976267079610344,hbm-bound
naive,1,2,1.0,1.0,16384,15.70803417754352,15.70803417754352,13.2201953114888,0.038099324937952955,hbm-bound
naive,1,2,1.0,1.25,2048,7.368111021051247,7.368111021051247,18.53216780753458,0.017871113138477005,hbm-bound
naive,1,2,1.0,1.25,4096,8.726892119252518,8.726892119252518,18.705401300867916,0.02116679240647402,hbm-bound
naive,1,2,1.0,1.25,8192,11.37032413815303,11.37032413815303,19.051868287534578,0.027578350613003816,hbm-bound
naive,1,2,1.0,1.25,16384,16.378878396819385,16.378878396819385,19.744802260867914,0.039726435727505324,hbm-bound
naive,1,2,1.5,0.75,2048,9.77495257731086,9.77495257731086,8.306913589379118,0.023708828888879294,hbm-bound
naive,1,2,1.5,0.75,4096,11.758464499494178,11.758464499494178,8.54011252271245,0.02851977240908138,hbm-bound
naive,1,2,1.5,0.75,8192,15.417342672889802,15.417342672889802,9.006510389379116,0.03739426216769634,hbm-bound
naive,1,2,1.5,0.75,16384,21.70495086644201,21.70495086644201,9.93930612271245,0.05264465091405845,hbm-bound
naive,1,2,1.5,1.0,2048,8.72351457547863,8.72351457547863,13.256466724822133,0.0211586002841321,hbm-bound
naive,1,2,1.5,1.0,4096,10.472328642773041,10.472328642773041,13.489665658155465,0.02540029180662486,hbm-bound
naive,1,2,1.5,1.0,8192,13.794625857851772,13.794625857851772,13.956063524822131,0.033458415420762264,hbm-bound
naive,1,2,1.5,1.0,16384,19.814788701944003,19.814788701944003,14.888859258155467,0.0480601241886464,hbm-bound
naive,1,2,1.5,1.25,2048,7.953079699937637,7.953079699937637,19.335231994201248,0.01928993560368907,hbm-bound
naive,1,2,1.5,1.25,4096,9.495200762633466,9.495200762633466,19.568430927534582,0.02303029998011149,hbm-bound
naive,1,2,1.5,1.25,8192,12.471744142829273,12.471744142829273,20.034828794201246,0.03024980893662482,hbm-bound
naive,1,2,1.5,1.25,16384,18.027574605329516,18.027574605329516,20.96762452753458,0.043725294646579926,hbm-bound
naive,1,4,0.5,0.75,2048,5.329414887508483,5.329414887508483,11.214889675804935,0.012926322112198442,hbm-bound
naive,1,4,0.5,0.75,4096,6.124408171113768,6.124408171113768,11.328157729138267,0.014854552410988422,hbm-bound
naive,1,4,0.5,0.75,8192,7.667635900958345,7.667635900958345,11.554693835804935,0.018597600972511393,hbm-bound
naive,1,4,0.5,0.75,16384,10.579406011088683,10.579406011088683,12.007766049138267,0.025660004473585487,hbm-bound
naive,1,4,0.5,1.0,2048,5.3336161328714855,5.3336161328714855,19.706656496245813,0.012936512095898498,hbm-bound
naive,1,4,0.5,1.0,4096,6.1650703200714885,6.1650703200714885,19.819924549579145,0.01495317712801574,hbm-bound
naive,1,4,0.5,1.0,8192,7.799791016207008,7.799791016207008,20.046460656245813,0.018918138897318665,hbm-bound
naive,1,4,0.5,1.0,16384,10.960842642424543,10.960842642424543,20.499532869579145,0.02658516659102466,hbm-bound
naive,1,4,0.5,1.25,2048,5.332883961527173,5.332883961527173,30.59408137205074,0.012934736238165958,hbm-bound
